gpu,1080p Ultra,1080p Medium,1440p Ultra,4K Ultra,Specifications (Links to Review)
GeForce GTX 1080 Ti,66.4,110.2,50.2,29.5,"https://www.tomshardware.com/reviews/nvidia-geforce-gtx-1080-ti,4972.html"
GeForce RTX 2060 Super,65.5,112.0,48.3,0.0,"https://www.tomshardware.com/reviews/nvidia-geforce-rtx-2060-super-geforce-rtx-2070-super,6207.html"
Radeon RX 6600,65.2,116.2,44.8,0.0,https://www.tomshardware.com/reviews/amd-radeon-rx-6600-review-xfx
Intel Arc A580,65.1,101.1,48.8,27.9,https://www.tomshardware.com/reviews/intel-arc-a580-review-a-new-budget-contender
Radeon RX 5700,64.5,110.8,46.7,0.0,"https://www.tomshardware.com/reviews/amd-radeon-rx_5700-rx_5700_xt,6216.html"
Radeon RX 5600 XT,57.8,100.0,42.0,0.0,https://www.tomshardware.com/reviews/amd-radeon-rx_5600_xt
Radeon RX Vega 64,56.7,94.3,41.6,23.5,"https://www.tomshardware.com/reviews/amd-radeon-rx-vega-64,5173.html"
GeForce RTX 2060,55.5,100.5,40.1,0.0,"https://www.tomshardware.com/reviews/nvidia-geforce-rtx-2060-ray-tracing-turing,5960.html"
GeForce GTX 1080,53.0,89.9,39.4,0.0,"https://www.tomshardware.com/reviews/best-nvidia-geforce-gtx-1080-graphics-cards,4725.html"
GeForce RTX 3050,51.9,88.8,38.5,0.0,https://www.tomshardware.com/reviews/nvidia-geforce-rtx-3050-review-evga-xc-black
GeForce GTX 1070 Ti,51.1,85.7,37.9,0.0,"https://www.tomshardware.com/reviews/nvidia-geforce-gtx-1070-ti-8gb,5311.html"
Radeon RX Vega 56,50.6,84.2,37.0,0.0,"https://www.tomshardware.com/reviews/radeon-rx-vega-56,5202.html"
GeForce GTX 1660 Super,46.8,85.5,33.3,0.0,https://www.tomshardware.com/reviews/evga-nvidia-geforce-gtx_1660_super-sc-ultra
GeForce GTX 1660 Ti,46.6,84.8,33.3,0.0,"https://www.tomshardware.com/reviews/nvidia-geforce-gtx-1660-ti-turing,6002.html"
GeForce GTX 1070,44.7,75.0,33.1,0.0,"https://www.tomshardware.com/reviews/nvidia-geforce-gtx-1070-8gb-pascal-performance,4585.html"
GeForce GTX 1660,42.6,77.8,30.3,0.0,"https://www.tomshardware.com/reviews/nvidia-geforce-gtx-1660-turing-tu116,6027.html"
Radeon RX 5500 XT 8GB,39.7,72.1,28.2,0.0,https://www.tomshardware.com/reviews/asus-rog-strix-rx-5500-xt-o8g-gaming
Radeon RX 590,39.3,68.5,29.0,0.0,"https://www.tomshardware.com/reviews/amd-radeon-rx-590,5907.html"
GeForce GTX 980 Ti,35.9,62.6,26.6,0.0,"https://www.tomshardware.com/reviews/nvidia-geforce-gtx-980-ti,4164.html"
Radeon RX 580 8GB,35.3,61.7,26.0,0.0,"https://www.tomshardware.com/reviews/amd-radeon-rx-580-review,5020.html"
Radeon R9 Fury X,35.2,63.8,0.0,0.0,"https://www.tomshardware.com/reviews/amd-radeon-r9-fury-x,4196.html"
GeForce GTX 1650 Super,33.9,67.7,21.2,0.0,https://www.tomshardware.com/reviews/nvidia-gtx_1650-super-turing
Radeon RX 5500 XT 4GB,33.3,66.8,0.0,0.0,https://www.tomshardware.com/reviews/amd-radeon-rx-5500-xt-4gb
GeForce GTX 1060 6GB,32.1,57.7,23.0,0.0,"https://www.tomshardware.com/reviews/nvidia-geforce-gtx-1060-pascal,4679.html"
Radeon RX 6500 XT,30.6,65.8,18.0,0.0,https://www.tomshardware.com/reviews/amd-radeon-rx-6500-xt-review-xfx
Radeon R9 390,29.8,51.1,0.0,0.0,"https://www.tomshardware.com/reviews/sapphire-nitro-r9-390-8g-d5,4245.html"
GeForce GTX 980,28.9,53.6,0.0,0.0,"https://www.tomshardware.com/reviews/nvidia-geforce-gtx-980-970-maxwell,3941.html"
GeForce GTX 1650 GDDR6,28.8,56.6,0.0,0.0,https://www.tomshardware.com/reviews/evga-geforce-gtx-1650-gddr6
Intel Arc A380,28.4,54.3,19.5,0.0,https://www.tomshardware.com/reviews/intel-arc-a380-review
