,name,price,type,efficiency,wattage,modular,color
293,EVGA 500 BQ,11499.0,ATX,bronze,500,Semi,
294,Corsair HX1000i,44900.0,ATX,platinum,1000,Full,
295,Super Flower Leadex Platinum SE,16999.0,ATX,platinum,1200,Full,Black
298,EVGA SuperNOVA 1000 P6,28999.0,ATX,platinum,1000,Full,Black / Silver
299,Corsair RM850x,18887.0,ATX,gold,850,Full,
303,SeaSonic PRIME Ultra Titanium,20999.0,ATX,titanium,750,Full,
304,Corsair HX1200i,63900.0,ATX,platinum,1200,Full,
305,EVGA SuperNOVA 850 G5,19885.0,ATX,gold,850,Full,Black / Green
306,Cooler Master MWE Gold 1250 - V2,19999.0,ATX,gold,1250,Full,Black
307,Corsair RM850x (2018),28500.0,ATX,gold,850,Full,White / Black
309,Phanteks Revolt SFX,18399.0,SFX,platinum,850,Full,Black
310,Enermax REVOLUTION D.F. 2,12999.0,ATX,gold,1050,Full,Black
312,Cooler Master Elite 400 V3,5321.0,ATX,plus,400,False,Black
313,be quiet! SFX L Power,14238.0,SFX,gold,500,Full,
315,EVGA 750 BP,8999.0,ATX,bronze,750,False,Black
316,Corsair CX650F,16999.0,ATX,bronze,650,Full,Black
317,Corsair CX600,17841.0,ATX,bronze,600,False,
319,MSI MPG A750G PCIE5,13999.0,ATX,gold,750,Full,Black
320,Corsair SF450,22999.0,SFX,gold,450,Full,
321,be quiet! Straight Power 11 850W,15899.0,ATX,gold,850,Full,
323,SeaSonic PRIME TX,69600.0,ATX,titanium,1300,Full,Black / Silver
324,SeaSonic FOCUS Gold,9999.0,ATX,gold,550,Semi,
326,EVGA SuperNOVA 1600 G+,24900.0,ATX,gold,1600,Full,Black
327,FSP Group Hydro G Pro,22372.0,ATX,gold,1000,Full,Black
328,EVGA SuperNOVA 650 G6,11000.0,ATX,gold,650,Full,Black
329,EVGA SuperNOVA 650 P5,12799.0,ATX,platinum,650,Full,Black / Teal
331,Silverstone Strider Platinum S,21663.0,ATX,platinum,1200,Full,Black
333,ADATA XPG PYLON,12649.0,ATX,bronze,650,False,Black
334,GAMDIAS KRATOS M1 B,7998.0,ATX,bronze,750,False,Black
336,Gigabyte AORUS P1200W,29298.0,ATX,platinum,1200,Full,Black
338,Corsair RM750x,18653.0,ATX,gold,750,Full,
340,Corsair RM750,21681.0,ATX,gold,750,Full,
343,Enermax REVOLUTION D.F. 2,14999.0,ATX,gold,1200,Full,Black
344,Fractal Design Ion+ 2 Platinum,32600.0,ATX,platinum,860,Full,Black
345,SeaSonic FOCUS SGX (2021),16999.0,SFX,gold,750,Full,Black
349,SeaSonic G12 GM,13101.0,ATX,gold,750,Semi,Black / Blue
350,Corsair VS550 (2018),13665.0,ATX,plus,550,False,
351,Thermaltake Toughpower TF1 - TT Premium,39995.0,ATX,titanium,1550,Full,Black
353,Cougar POLAR,25478.0,ATX,platinum,1200,Full,White
354,Asus ROG Strix,21482.0,ATX,gold,650,Full,Black / Red
355,SeaSonic FOCUS SPX (2021),19499.0,SFX,platinum,750,Full,Black
357,Deepcool DQ750-M-V2L,10999.0,ATX,gold,750,Full,Black / Green
359,Silverstone Extreme 850R Platinum,23392.0,SFX,platinum,850,Full,Black
361,SeaSonic PRIME TX-850,38780.0,ATX,titanium,850,Full,Black
362,be quiet! System Power 9 700 CM,16341.0,ATX,bronze,700,Semi,Black
363,Corsair CXM,17099.0,ATX,bronze,750,Semi,
364,Cooler Master V750 Gold i,12999.0,ATX,gold,750,Full,Black / Gold
365,be quiet! SFX L Power,12858.000000000002,SFX,gold,600,Full,
370,SeaSonic FOCUS,16569.0,ATX,platinum,550,Full,Black
374,Thermaltake Toughpower Grand RGB,14902.000000000002,ATX,gold,850,Full,
375,Silverstone FX350-G,9136.0,Flex ATX,gold,350,False,Black
377,be quiet! SFX Power 3 450,10129.0,SFX,bronze,450,False,Black
381,Silverstone Essential,7498.0,ATX,gold,550,False,Black / Yellow
382,Corsair SF450,21849.0,SFX,platinum,450,Full,Black
383,Phanteks AMP v2,15999.0,ATX,gold,1000,Full,Black
385,EVGA SuperNOVA 1600 P2,30499.0,ATX,platinum,1600,Full,
386,Corsair CX550M,19783.0,ATX,bronze,550,Semi,
387,Asus ROG Strix,15741.0,ATX,gold,550,Full,Black / Red
389,SeaSonic FOCUS Plus Platinum,14997.999999999998,ATX,platinum,650,Full,
390,Asus TUF Gaming B,7998.0,ATX,bronze,450,False,Black
392,be quiet! Pure Power 11,8859.0,ATX,gold,600,False,Black
393,Cooler Master V SFX Platinum,27999.0,SFX,platinum,1100,Full,Black
394,Thermaltake Toughpower,10899.0,ATX,gold,750,Semi,
395,Corsair CX600M,17999.0,ATX,bronze,600,Semi,
396,Super Flower Leadex V Pro,24999.0,ATX,gold,1000,Full,White
398,Corsair VS650 (2018),46499.0,ATX,plus,650,False,
399,Cooler Master G700,10398.0,ATX,gold,700,False,Black
401,EVGA SuperNOVA 1300 P+,35768.0,ATX,platinum,1300,Full,Black
402,SeaSonic PRIME PX,33629.0,ATX,platinum,1000,Full,Black / Silver
403,SeaSonic PRIME PX,41499.0,ATX,platinum,1600,Full,Black / Silver
405,Corsair CX750M V2 (2017 Edition),19999.0,ATX,bronze,750,Semi,Black / White
406,Vetroo GV1000,15999.0,ATX,gold,1000,Full,White
407,SeaSonic VERTEX GX-850,21999.0,ATX,gold,850,Full,Black / Silver
408,Thermaltake Toughpower Grand RGB,13099.0,ATX,gold,750,Full,
412,Cooler Master G500,8999.0,ATX,gold,500,False,Black
413,Enermax Revolution D.F.,12298.0,ATX,gold,650,Full,Black
414,Corsair CX500,29999.0,ATX,bronze,500,False,
418,Super Flower Leadex III Super Pro,8999.0,ATX,bronze,550,Full,Black
419,Thermaltake Smart Pro RGB,10628.0,ATX,bronze,650,Full,
422,be quiet! System Power 9 CM,14009.0,ATX,bronze,400,Semi,Black
424,be quiet! Straight Power 11 550W,10900.0,ATX,gold,550,Full,
425,Deepcool PQ850M,13097.999999999998,ATX,gold,850,Full,Black
427,SeaSonic CORE GM,14499.0,ATX,gold,650,Semi,Black
428,Super Flower Leadex III ARGB,17868.0,ATX,gold,750,Full,White
431,Thermaltake Toughpower SFX,19499.0,SFX,gold,850,Full,Black
432,EVGA SuperNOVA 850 P5,18499.0,ATX,platinum,850,Full,Black / Teal
433,Cooler Master MWE Bronze,6875.0,ATX,bronze,500,False,Black
437,SeaSonic PRIME 1300 Gold,28199.0,ATX,gold,1300,Full,Black
439,be quiet! Pure Power 9 CM,10539.0,ATX,bronze,600,Semi,Black
440,Thermaltake Toughpower SFX 600W Gold,12538.0,SFX,gold,600,Full,Black
441,be quiet! System Power 9,11411.0,ATX,bronze,600,False,Black
442,Corsair RM850 (2019),21900.0,ATX,gold,850,Full,Black
444,FSP Group Hydro PTM PRO,26799.0,ATX,platinum,1200,Full,Black
445,Asus ROG THOR P2 Gaming EVA Edition,48999.0,ATX,platinum,1000,Full,Black / Silver
446,SeaSonic G12 GM,15937.0,ATX,gold,850,Semi,Black / Blue
449,Corsair TX750M Gold,26243.0,ATX,gold,750,Semi,
451,SeaSonic PRIME TX-750,21099.0,ATX,titanium,750,Full,Black
456,Silverstone DA750 Gold,15588.0,ATX,gold,750,Full,Black / White
457,Thermaltake Toughpower GF1 Snow - TT Premium,13999.0,ATX,gold,850,Full,White
458,Corsair CX750F,21999.0,ATX,bronze,750,Full,Black
459,Silverstone ST85F-GS-V2,12999.0,ATX,gold,850,Full,
461,Silverstone HELA 850R,20808.0,ATX,platinum,850,Full,Black / Silver
463,Silverstone FX600 Platinum,18398.0,Flex ATX,,600,False,Black
467,Silverstone Strider Platinum,15000.0,ATX,platinum,850,Full,
470,Corsair CX650F,17099.0,ATX,bronze,650,Full,White / Black
474,Corsair RM850x White,33999.0,ATX,gold,850,Full,White / Black
476,be quiet! Pure Power 11 CM,11489.0,ATX,gold,700,Semi,Black
479,Deepcool DQ-M-V2L,15338.0,ATX,gold,850,Full,Black / Green
480,EVGA SuperNOVA 550 GA,15380.000000000002,ATX,gold,550,Full,Black
484,Deepcool PQ650M,10399.0,ATX,gold,650,Full,Black
485,Montech TITAN GOLD 1200W,20999.0,ATX,gold,1200,Full,Black
486,Athena Power AP-MTFX30,3699.0,TFX,,300,False,
488,Vetroo GV1000,15599.0,ATX,gold,1000,Full,Black
489,Corsair VS450,39999.0,ATX,plus,450,False,
490,SeaSonic FOCUS,17817.0,ATX,platinum,750,Full,Black
491,Phanteks Revolt X,21399.0,ATX,platinum,1000,Full,Black / Silver
492,Asus ROG LOKI,19868.0,SFX,platinum,750,Full,Black / Silver
495,Antec High Current Gamer Gold,16992.0,ATX,gold,750,Full,Black
498,Thermaltake Toughpower SFX,15251.0,SFX,gold,750,Full,Black
500,Gigabyte UD1000GM PG5,27039.0,ATX,gold,1000,Full,Black
501,SHARKOON SilentStorm Cool Zero 650,14169.0,ATX,gold,650,Full,Black
502,Corsair HX850i,45999.0,ATX,platinum,850,Full,
503,Silverstone SX500-G,11499.0,SFX,gold,500,Full,
506,Silverstone SX700-PT,16526.0,SFX,platinum,700,Full,Black
507,Corsair CX500M,17999.0,ATX,bronze,500,Semi,
508,Asus TUF Gaming B,14999.0,ATX,bronze,550,False,Black
510,Deepcool DA600N,7698.999999999999,ATX,bronze,600,False,Black
511,EVGA SuperNOVA 750 P2,22999.0,ATX,platinum,750,Full,
512,Cougar GEX,8499.0,ATX,gold,650,Full,Black
515,Cougar VTE,6998.0,ATX,bronze,600,False,Black
516,Corsair CX650 (2017),15744.0,ATX,bronze,650,False,
517,SeaSonic G12 GM,19700.0,ATX,gold,550,Semi,Black / Blue
518,EVGA 1000 GQ,32598.0,ATX,gold,1000,Semi,
519,Logisys PS480D,1698.0,ATX,,480,False,
520,EVGA 750 B5,14499.0,ATX,bronze,750,Full,Black
521,SeaSonic FOCUS,14997.999999999998,ATX,platinum,650,Full,Black
522,Corsair RM650x,21320.0,ATX,gold,650,Full,
523,SeaSonic SSP-300SFG,8999.0,SFX,gold,300,False,
527,PowerSpec GFM,10999.0,ATX,gold,750,Full,Black
528,SeaSonic PRIME,31500.0,ATX,gold,1000,Full,Black
531,EVGA SuperNOVA 850 G+,24999.0,ATX,gold,850,Full,
532,FSP Group Dagger Pro,13499.0,SFX,gold,650,Full,Black
534,EVGA SuperNOVA 1300 G+,35998.0,ATX,gold,1300,Full,Black
535,SeaSonic FOCUS,13797.999999999998,ATX,gold,750,Semi,Black
536,EVGA SuperNOVA 650 G7,12999.0,ATX,gold,650,Full,Black / Blue
537,Super Flower Leadex VI Platinum PRO,17999.0,ATX,platinum,850,Full,Black / Blue
538,Thermaltake Toughpower GF1 ARGB,20761.0,ATX,gold,850,Full,
541,GAMDIAS KRATOS P1 G,8999.0,ATX,gold,750,False,Black
544,Xilence XP500R6,8640.0,ATX,,500,False,Black / Red
545,Corsair TX850M Gold,31677.0,ATX,gold,850,Semi,
546,SeaSonic PRIME Fanless,29898.0,ATX,titanium,700,Full,Black
553,Cooler Master V850 Gold i,13499.0,ATX,gold,850,Full,Black / Gold
555,SeaSonic PRIME,18999.0,ATX,gold,850,Full,Black
560,Super Flower Leadex Platinum SE,14999.0,ATX,platinum,1000,Full,White
561,NZXT E850,15999.0,ATX,gold,850,Full,Black
562,Super Flower Leadex Titanium,31999.0,ATX,titanium,1000,Full,Black
563,PowerSpec PS 650GSM,9499.0,ATX,gold,650,Semi,Black
564,Silverstone SST-TX300,7498.0,TFX,bronze,300,False,Black
565,Antec NeoECO Gold,22800.0,ATX,gold,750,Full,
568,Montech TITAN GOLD 1000W,18992.0,ATX,gold,1000,Full,Black
569,Thermaltake Smart RGB,9721.0,ATX,plus,600,False,
571,Silverstone Strider Platinum S,26507.0,ATX,platinum,1000,Full,Black
573,Silverstone Essential,9499.0,ATX,gold,750,False,Black / Yellow
575,Corsair RM750x White,27900.0,ATX,gold,750,Full,White / Black
576,SeaSonic FOCUS Gold,13797.999999999998,ATX,gold,750,Semi,
577,Silverstone SFX,9416.0,SFX,bronze,450,False,Black
580,EVGA SuperNOVA 1000 G3,37999.0,ATX,gold,1000,Full,
582,Deepcool DA700N,8799.0,ATX,bronze,700,False,Black
584,Xilence XP600R6,8098.0,ATX,,600,False,Black / Red
585,Super Flower LEADEX VII XG,15499.0,ATX,gold,1000,Full,Black
586,be quiet! Straight Power 11 1000W,30200.0,ATX,gold,1000,Full,
589,Corsair HX750,26364.0,ATX,gold,750,Semi,
592,Super Flower Leadex Platinum,13499.0,ATX,platinum,850,Full,Black
593,EVGA SuperNOVA 650 G+,17494.0,ATX,gold,650,Full,Black
596,CoolMax V-400,2563.0,ATX,,400,False,
600,Razer Katana Chroma,38999.0,ATX,platinum,1200,Full,Black
605,SeaSonic FOCUS Gold,12582.0,ATX,gold,650,Semi,
606,SeaSonic CORE GM,20009.0,ATX,gold,500,Semi,Black
610,SeaSonic PRIME PX,19798.0,ATX,platinum,750,Full,Black / Silver
616,Corsair HX750i,45999.0,ATX,platinum,750,Full,
617,Deepcool PX-G,20868.0,ATX,gold,1000,Full,Black
618,SeaSonic PRIME,22119.0,ATX,gold,750,Full,Black
619,Silverstone SFX,15359.0,SFX,platinum,700,Full,
620,Corsair RM1000,44000.0,ATX,gold,1000,Full,
622,SeaSonic FOCUS,12798.0,ATX,gold,650,Semi,Black
623,Cooler Master XG850 Plus,20202.0,ATX,platinum,850,Full,Black
624,Corsair CX450 (2017),11999.0,ATX,bronze,450,False,
630,Corsair AX760,69999.0,ATX,platinum,760,Full,
631,Super Flower Leadex III Gold,11499.0,ATX,gold,650,Full,Black
633,Antec EARTHWATTS GOLD PRO 650,12001.0,ATX,gold,650,Semi,Black
635,Silverstone SX650-G,13224.0,SFX,gold,650,Full,
636,Deepcool DA500,8159.0,ATX,bronze,500,False,Black / Gold
638,Corsair RM550x,22999.0,ATX,gold,550,Full,
641,SeaSonic PRIME PX-1600 ATX 3.0,50999.0,ATX,platinum,1600,Full,Black / Silver
642,Cougar VTE X2,8298.0,ATX,plus,750,False,Black
647,Silverstone Strider Platinum,12999.0,ATX,platinum,650,Full,
648,SHARKOON SilentStorm Cool Zero 750,15379.0,ATX,gold,750,Full,Black
651,Corsair RM650,19341.0,ATX,gold,650,Full,
652,Silverstone SX-G,14526.0,SFX,gold,700,Full,Black
655,FSP Group Dagger Pro,17784.0,SFX,gold,850,Full,Black / Gold
656,Apevia ATX-JP1000W,9484.0,ATX,bronze,1000,False,
657,Enermax Revolution D.F.,11999.0,ATX,gold,750,Full,Black / Silver
659,EVGA N1,8499.0,ATX,,550,False,
660,Silverstone Essential,11999.0,ATX,gold,650,False,Black
661,Super Flower LEADEX VII XG,13999.0,ATX,gold,850,Full,Black
667,be quiet! Straight Power 11,12949.0,ATX,platinum,550,Full,Black
670,Enermax Revolution D.F.,12298.0,ATX,gold,850,Full,Black / Silver
674,FSP Group FSP400-60FGGBA,10999.0,Flex ATX,gold,400,False,
677,ADATA XPG PYLON,52200.0,ATX,bronze,750,False,Black
682,SeaSonic FOCUS Plus 550 Gold,20799.0,ATX,gold,550,Full,
685,Xilence XP400R6,7947.0,ATX,,400,False,Black / Red
690,Razer Katana Chroma,33599.0,ATX,platinum,850,Full,Black
691,Cooler Master XG750 Plus,15765.0,ATX,platinum,750,Full,Black
693,Cougar BXM750,7498.999999999999,ATX,bronze,750,Semi,Orange / Black
698,CoolMax ZX-500,6729.000000000001,ATX,plus,500,False,
699,Silverstone Strider Titanium,32999.0,ATX,titanium,1100,Full,Black / Blue
701,Corsair AX850,49999.0,ATX,titanium,850,Full,Black / Silver
702,Deepcool PX-G,15999.0,ATX,gold,850,Full,Black
703,Corsair VS500,17999.0,ATX,plus,500,False,
707,Corsair AX850,49840.0,ATX,gold,850,Full,
709,ADATA XPG CYBERCORE,19999.0,ATX,platinum,1300,Full,Black / Silver
714,SeaSonic SSP-300SUG,9100.0,Flex ATX,gold,300,False,
715,Thermaltake Thermaltake TP-750M,10899.0,ATX,gold,750,Semi,
717,SeaSonic PRIME Ultra Platinum 1000,39031.0,ATX,platinum,1000,Full,Black
719,Cougar VTE X2,5999.0,ATX,plus,600,False,Black
