,name,price,type,efficiency,wattage,modular,color
1117,Silverstone Strider,24790.0,ATX,silver,1500,False,
1118,XFX TS,15063.0,ATX,gold,550,False,
1130,Super Flower Leadex III Super Pro,13999.0,ATX,bronze,850,Full,Black
1132,CoolMax ZX-600,7818.000000000001,ATX,plus,600,False,
1134,Silverstone Strider Platinum,15597.0,ATX,platinum,550,Full,
1135,Xilence XP550R9,16000.0,ATX,gold,550,False,Black / Red
1143,Thermaltake Smart,19682.0,ATX,bronze,750,Semi,
1160,Xilence XP1250MR9,25339.0,ATX,gold,1250,Full,Black / Red
1161,Sparkle ATX-350PN-B204,5799.0,ATX,,350,False,
1162,Cooler Master XG650 Plus,18999.0,ATX,platinum,650,Full,Black
1163,EVGA 500 BT,11840.0,ATX,bronze,500,False,Black
1176,PC Power & Cooling Silencer,26389.0,ATX,platinum,1200,Full,
1182,Rosewill LEPTON 600,17999.0,ATX,gold,600,Semi,Black
1196,Athena Power Apollo,4699.0,SFX,,300,False,
1201,Silverstone Essential,11890.0,ATX,gold,750,Semi,Black / Blue
1211,Corsair G700,32399.0,ATX,plus,700,False,
1215,SeaSonic SS-300ES Bronze,10444.0,ATX,bronze,300,False,
1228,Corsair TX650M,29999.0,ATX,bronze,650,Semi,
1231,Rosewill PHOTON-550,23299.0,ATX,gold,550,Full,
1232,Enermax MAXREVO SLI,36999.0,ATX,gold,1350,Full,Black / Gold
1243,Thermaltake Toughpower GF2 ARGB,13999.0,ATX,gold,650,Full,Black
1244,Apex SL-275TFX,4595.0,TFX,,275,False,
1249,In Win PB,15000.0,ATX,gold,750,Full,
1263,Antec Basiq,20000.0,ATX,plus,550,Semi,
1266,Rosewill Glacier 850M,28139.0,ATX,bronze,850,Semi,
1267,SeaSonic PRIME Ultra Platinum 850,36842.0,ATX,platinum,850,Full,Black
1289,SeaSonic SSP-300TBS,7287.0,TFX,bronze,300,False,Silver
1290,FSP Group FSP500-50FSPT,14999.0,Flex ATX,platinum,500,False,
1291,CoolMax ZX-700,8881.0,ATX,plus,700,False,
1309,Corsair TX850 V2,59999.0,ATX,bronze,850,False,
1315,Athena Power APOLLO 600,19621.0,SFX,bronze,600,False,
1341,SeaSonic SS-300TFX Bronze,5683.0,TFX,bronze,300,False,
