name,price,socket,form_factor,max_memory,memory_slots,color
Gigabyte B760M DS3H AX DDR4,17850.0,LGA1700,Micro ATX,128,4,Black
MSI MPG Z790 EDGE WIFI,33999.0,LGA1700,ATX,128,4,Silver / Black
ASRock B660M-HDV,9773.0,LGA1700,Micro ATX,64,2,Gray / Black
Asus ROG STRIX Z690-E GAMING WIFI,26599.0,LGA1700,ATX,128,4,Black
MSI PRO B760M-P DDR4,9995.0,LGA1700,Micro ATX,128,4,Black
NZXT N7 Z790,29999.0,LGA1700,ATX,128,4,White / Black
ASRock H570 Phantom Gaming 4,8100.0,LGA1200,ATX,128,4,Silver / Black
Asus PRIME B550-PLUS,12999.0,AM4,ATX,128,4,Black / White
Gigabyte B760M AORUS ELITE AX,11999.0,LGA1700,Micro ATX,128,4,Black / Silver
Gigabyte B760 AORUS ELITE AX,15999.0,LGA1700,ATX,128,4,Black
Asus ROG STRIX B650E-I GAMING WIFI,32499.0,AM5,Mini ITX,64,2,Black
MSI PRO X670-P WIFI,22995.0,AM5,ATX,128,4,Black / White
Asus PRIME B660-PLUS D4,17994.0,LGA1700,ATX,128,4,Silver / Black
Gigabyte A520M S2H,7498.0,AM4,Micro ATX,64,2,Black
Asus PRIME Z790-P WIFI,22298.0,LGA1700,ATX,128,4,Black / Silver
MSI MPG B650 EDGE WIFI,23999.0,AM5,ATX,128,4,Black / Silver
Gigabyte B550M K,7998.0,AM4,Micro ATX,128,4,Brown / Silver
ASRock B550M-HDV,7998.0,AM4,Micro ATX,64,2,Black
MSI MPG X670E CARBON WIFI,43999.0,AM5,ATX,128,4,Black
ASRock Z790 PG LIGHTNING,17999.0,LGA1700,ATX,128,4,Black
Gigabyte B550 AORUS ELITE V2,16343.0,AM4,ATX,128,4,Black
Asus ROG STRIX B760-A GAMING WIFI D4,21899.0,LGA1700,ATX,128,4,Silver / Black
Asus PRIME A320M-K,9678.0,AM4,Micro ATX,32,2,Black / White
Asus TUF GAMING X670E-PLUS WIFI,30120.0,AM5,ATX,128,4,Black / Orange
Asus PRIME B660M-A WIFI D4,16437.0,LGA1700,Micro ATX,128,4,Silver / Black
Asus ROG STRIX B450-F GAMING,27900.0,AM4,ATX,64,4,Black
ASRock B550 Phantom Gaming 4,8499.0,AM4,ATX,128,4,Silver / Black
MSI PRO Z790-A WIFI,21999.0,LGA1700,ATX,128,4,Black / Silver
NZXT N7 B550,24999.0,AM4,ATX,128,4,White / Black
ASRock B550 Phantom Gaming-ITX/ax,19125.0,AM4,Mini ITX,64,2,Silver / Black
MSI MAG B650M MORTAR WIFI,19995.0,AM5,Micro ATX,128,4,Black
NZXT N7 B650E,31699.0,AM5,ATX,128,4,White
ASRock B550M Steel Legend,12999.0,AM4,Micro ATX,128,4,Silver / Black
Gigabyte B650M K,11999.0,AM5,Micro ATX,128,4,Brown / Silver
Asus ROG STRIX X670E-I GAMING WIFI,42999.0,AM5,Mini ITX,64,2,Black / Silver
MSI B450I GAMING PLUS MAX WIFI,14999.0,AM4,Mini ITX,64,2,Black
ASRock B550 Pro4,11499.0,AM4,ATX,128,4,Silver / Black
ASRock B550M PG RIPTIDE,8999.0,AM4,Micro ATX,128,4,
Asus ROG STRIX Z790-A GAMING WIFI,34999.0,LGA1700,ATX,128,4,Silver / Black
Asus ROG CROSSHAIR X670E HERO,65653.0,AM5,ATX,128,4,Black / Silver
MSI MAG B760 TOMAHAWK WIFI,19999.0,LGA1700,ATX,128,4,Black
ASRock B450M Pro4,13999.0,AM4,Micro ATX,128,4,Black / Silver
ASRock X670E Steel Legend,29999.0,AM5,ATX,128,4,Black / White
MSI MAG X570S TOMAHAWK MAX WIFI,27950.0,AM4,ATX,128,4,Black
MSI MPG X570S EDGE MAX WIFI,19999.0,AM4,ATX,128,4,Black / Silver
Asus ROG STRIX X670E-A GAMING WIFI,38599.0,AM5,ATX,128,4,Silver / Black
Asus TUF GAMING Z690-PLUS WIFI D4,27499.0,LGA1700,ATX,128,4,Black / Silver
MSI MAG Z690 TOMAHAWK WIFI,21700.0,LGA1700,ATX,128,4,Black / Silver
MSI B760 GAMING PLUS WIFI,15999.0,LGA1700,ATX,192,4,Black / Silver
Asus PRIME B650-PLUS,19099.0,AM5,ATX,128,4,Black / Silver
ASRock A520M-ITX/ac,13660.0,AM4,Mini ITX,64,2,Black / Silver
MSI MEG Z790 GODLIKE,119999.0,LGA1700,EATX,128,4,Black
ASRock A620M Pro RS WiFi,12499.0,AM5,Micro ATX,128,4,Silver / Black
MSI PRO Z690-P DDR4,15869.0,LGA1700,ATX,128,4,Black / Silver
Gigabyte Z690 AORUS ELITE AX,16999.0,LGA1700,ATX,128,4,Black
Asus PRIME A520M-A II/CSM,7998.999999999999,AM4,Micro ATX,128,4,Silver / Black
MSI MPG Z790 CARBON WIFI,39999.0,LGA1700,ATX,128,4,Black
Asus ROG Crosshair VIII Dark Hero,39500.0,AM4,ATX,128,4,Black / Silver
MSI MPG Z690 EDGE WIFI DDR4,26999.0,LGA1700,ATX,128,4,Black / Gray
ASRock B450M Steel Legend,10900.0,AM4,Micro ATX,64,4,Black / White
Asus PRIME Z390-A,32300.0,LGA1151,ATX,128,4,Silver / Black
MSI PRO H610M-B DDR4,10998.0,LGA1700,Micro ATX,64,2,Black / Silver
Gigabyte B450 AORUS ELITE V2,12847.999999999998,AM4,ATX,128,4,Black
ASRock B760M Steel Legend WiFi,16999.0,LGA1700,Micro ATX,128,4,Silver / Black
Asus PRIME X670E-PRO WIFI,33499.0,AM5,ATX,128,4,Silver / Black
