name,price,price_per_gb,color,first_word_latency,cas_latency,speed_num,speed_value,modules_num,modules_value
Corsair Vengeance RGB Pro 16 GB,5999.0,374.90000000000003,Black,10.0,18.0,4,3600,2,8
Corsair Vengeance RGB 32 GB,9999.0,312.5,Black / Gray,12.857,36.0,5,5600,2,16
G.Skill Ripjaws V 32 GB,5999.0,187.5,Black,10.0,18.0,4,3600,2,16
Corsair Vengeance LPX 16 GB,3999.0,249.9,Black,10.0,16.0,4,3200,2,8
Corsair Vengeance RGB 32 GB,11499.0,359.3,White,15.385,40.0,5,5200,2,16
G.Skill Trident Z RGB 64 GB,14999.0,234.39999999999998,Black,10.0,18.0,4,3600,2,32
G.Skill Flare X5 32 GB,10499.0,328.1,Black,10.667,32.0,5,6000,2,16
Kingston FURY Beast RGB 32 GB,14399.0,450.0,Black,12.0,36.0,5,6000,2,16
Corsair Vengeance 64 GB,16699.0,260.9,Black,14.286,40.0,5,5600,2,32
Kingston FURY Beast 32 GB,7498.0,234.3,Black,10.0,16.0,4,3200,2,16
G.Skill Ripjaws S5 32 GB,9499.0,296.8,Black,12.0,36.0,5,6000,2,16
Corsair Vengeance RGB Pro 32 GB,9999.0,312.5,White,10.0,16.0,4,3200,2,16
G.Skill Aegis 16 GB,3799.0,237.4,Red / Black,10.0,16.0,4,3200,2,8
G.Skill Trident Z5 RGB 48 GB,31999.0,666.6,Black,10.0,40.0,5,8000,2,24
Corsair Vengeance LPX 8 GB,2499.0,312.40000000000003,Black / Yellow,13.333,16.0,4,2400,1,8
Corsair Vengeance 64 GB,21799.0,340.6,Black / Gray,10.0,32.0,5,6400,2,32
Corsair Vengeance 32 GB,10599.0,331.2,Black / Gray,10.0,30.0,5,6000,2,16
Corsair Dominator Platinum RGB 64 GB,26499.0,413.99999999999994,Black,13.333,40.0,5,6000,2,32
G.Skill Ripjaws V 32 GB,7498.0,234.3,Black,9.0,18.0,4,4000,2,16
Corsair Vengeance 32 GB,12499.0,390.6,Black,10.0,32.0,5,6400,2,16
Corsair Vengeance 32 GB,16999.0,531.2,Gray,9.444,34.0,5,7200,2,16
Corsair Vengeance LPX 256 GB,69499.0,271.5,Black / Yellow,10.0,18.0,4,3600,8,32
Kingston FURY Beast 32 GB,12999.0,406.20000000000005,Black,12.0,36.0,5,6000,2,16
Corsair Dominator Platinum RGB 32 GB,13999.0,437.5,Black,11.613,36.0,5,6200,2,16
Corsair Vengeance 16 GB,6998.999999999999,437.4,Black,15.385,40.0,5,5200,2,8
TEAMGROUP T-Force Delta RGB 32 GB,9999.0,312.5,Black,10.0,30.0,5,6000,2,16
Corsair Vengeance RGB Pro 32 GB,11499.0,359.3,Black,10.0,16.0,4,3200,4,8
Corsair Vengeance 32 GB,8999.0,281.2,Black,15.385,40.0,5,5200,2,16
G.Skill Ripjaws S5 32 GB,10899.0,340.6,White,10.0,30.0,5,6000,2,16
TEAMGROUP T-Force Delta RGB 32 GB,8499.0,265.6,Black,12.667,38.0,5,6000,2,16
Kingston FURY Beast RGB 16 GB,5300.0,331.2,Black,10.0,16.0,4,3200,2,8
Crucial CT2K8G48C40U5 16 GB,3999.0,249.9,Black,16.667,40.0,5,4800,2,8
Kingston FURY Beast 8 GB,2599.0,324.90000000000003,Black,10.0,16.0,4,3200,1,8
G.Skill Aegis 32 GB,5799.0,181.20000000000002,Red / Black,10.0,16.0,4,3200,2,16
Corsair Vengeance RGB 32 GB,10299.0,321.8,Black,12.0,36.0,5,6000,2,16
Corsair Vengeance RGB 32 GB,12999.0,406.20000000000005,Black / Gray,10.0,32.0,5,6400,2,16
G.Skill Ripjaws S5 64 GB,21999.0,343.7,Black,10.0,30.0,5,6000,2,32
G.Skill Trident Z5 RGB 32 GB,23699.0,740.6,Black,9.231,36.0,5,7800,2,16
Kingston ValueRAM 1 GB,911.0,911.0,Green,14.993,5.0,2,667,1,1
Kingston FURY Beast RGB 16 GB,9098.0,568.6,Black,13.333,40.0,5,6000,2,8
TEAMGROUP T-Force Vulcan Z 32 GB,5499.0,171.8,Gray,10.0,16.0,4,3200,2,16
Corsair Vengeance 16 GB,7998.0,499.9,Black / Yellow,11.25,9.0,3,1600,2,8
G.Skill Ripjaws S5 64 GB,19299.0,301.5,Black,10.0,28.0,5,5600,2,32
TEAMGROUP T-Create Expert 32 GB,7798.999999999999,243.7,Black,12.667,38.0,5,6000,2,16
Corsair Vengeance 32 GB,9899.0,309.3,Gray,12.0,36.0,5,6000,2,16
Corsair Vengeance RGB 32 GB,9999.0,312.5,Black,12.0,36.0,5,6000,2,16
Corsair Dominator Platinum RGB 64 GB,24499.0,382.8,White,14.286,40.0,5,5600,2,32
TEAMGROUP T-Create Expert 64 GB,16999.0,265.6,Black,11.333,34.0,5,6000,2,32
Corsair Vengeance RGB 32 GB,12799.0,400.0,Gray,10.0,30.0,5,6000,2,16
Patriot Viper 4 Blackout 64 GB,10999.0,171.9,Black,10.0,18.0,4,3600,2,32
Corsair Dominator Platinum RGB 64 GB,33499.0,523.4,Black,11.765,40.0,5,6800,2,32
Silicon Power XPOWER Turbine 32 GB,4897.0,153.0,Blue,10.0,16.0,4,3200,2,16
TEAMGROUP T-Create Expert 32 GB,5799.0,181.20000000000002,Gray,10.0,18.0,4,3600,2,16
G.Skill Trident Z Royal 32 GB,9999.0,312.5,Silver,10.556,19.0,4,3600,2,16
TEAMGROUP T-Create Classic 32 GB,7298.0,228.10000000000002,Black,16.429,46.0,5,5600,2,16
TEAMGROUP T-Create Classic 16 GB,2999.0,187.4,Silver,13.75,22.0,4,3200,2,8
Crucial CT8G4DFRA32A 8 GB,1798.0,224.8,Green,13.75,22.0,4,3200,1,8
G.Skill Ripjaws V 64 GB,11799.0,184.4,Black,10.0,18.0,4,3600,2,32
TEAMGROUP T-Force Delta RGB 32 GB,8699.0,271.8,White,11.429,32.0,5,5600,2,16
ADATA XPG SPECTRIX D50 16 GB,4999.0,312.40000000000003,White,10.0,16.0,4,3200,2,8
TEAMGROUP T-Force Vulcan 32 GB,7998.0,249.9,Black,12.857,36.0,5,5600,2,16
TEAMGROUP T-Force Delta RGB 16 GB,4499.0,281.2,White,10.0,16.0,4,3200,2,8
G.Skill Trident Z5 RGB 32 GB,113048.0,3532.8,White / Black,12.857,36.0,5,5600,2,16
TEAMGROUP T-Force Delta RGB 16 GB,4499.0,281.2,Black,10.0,16.0,4,3200,2,8
Crucial CT2K8G4DFRA32A 16 GB,2999.0,187.4,Green,13.75,22.0,4,3200,2,8
Gigabyte AORUS 32 GB,8499.0,265.6,Black,15.385,40.0,5,5200,2,16
TEAMGROUP Elite 32 GB,4849.0,151.5,Black,13.75,22.0,4,3200,2,16
G.Skill Trident Z5 RGB 64 GB,22999.0,359.4,Silver / Black,10.0,32.0,5,6400,2,32
Corsair Vengeance LPX 64 GB,11999.0,187.5,Black,10.0,18.0,4,3600,2,32
G.Skill Trident Z RGB 32 GB,10999.0,343.7,Black,8.889,16.0,4,3600,2,16
Corsair Vengeance RGB RT 32 GB,10999.0,343.7,Black,8.889,16.0,4,3600,2,16
Corsair Vengeance RGB 64 GB,31999.0,500.0,Black / Gray,9.697,32.0,5,6600,4,16
