gpu,memory,core_clock,boost_clock,boost_clock,length,rating,architecture,year,power_consumption,average_price
GeForce GTX 1080 Ti,11.0,1594.0,1708.0,1708.0,293.0,48.29,Pascal,2017,250,61898.85294117647
GeForce RTX 2060,6.0,1365.0,1680.0,1680.0,202.0,36.76,Turing,2019,160,37083.05882352941
Radeon RX 6900 XT,16.0,2015.0,2340.0,2340.0,332.0,69.52,RDNA 2.0,2020,300,118242.23809523808
GeForce GTX 960,4.0,1253.0,1317.0,1317.0,216.0,15.84,Maxwell 2.0,2015,100,
GeForce RTX 3090 Ti,24.0,1560.0,1890.0,1890.0,300.0,77.01,Ampere,2022,450,122757.8947368421
GeForce RTX 3070,8.0,1500.0,1725.0,1725.0,305.0,58.04,Ampere,2020,220,57456.90140845071
GeForce RTX 4070 Ti,12.0,2310.0,2385.0,2385.0,336.0,82.62,Ada Lovelace,2023,285,95199.0447761194
GeForce RTX 3070 Ti,8.0,1575.0,1800.0,1800.0,283.0,61.17,Ampere,2021,290,63590.19047619047
Radeon RX 5700 XT,8.0,1650.0,1905.0,1905.0,240.0,42.89,RDNA 1.0,2019,225,45489.32876712329
Radeon RX 6800,16.0,1700.0,2170.0,2170.0,310.0,57.54,RDNA 2.0,2020,250,90287.65853658535
Radeon RX 480,8.0,1120.0,1266.0,1266.0,242.0,22.38,GCN 4.0,2016,150,17570.833333333332
Quadro M2000,4.0,872.0,1180.0,1180.0,168.0,10.37,Maxwell 2.0,2016,75,
GeForce RTX 4070 Ti,12.0,2310.0,2685.0,2685.0,320.0,82.62,Ada Lovelace,2023,285,95199.0447761194
GeForce GT 710,2.0,954.0,,,157.0,1.63,Kepler 2.0,2014,19,
Radeon Pro WX 4100,4.0,925.0,975.0,975.0,168.0,9.47,GCN 4.0,2016,50,
GeForce RTX 2060,6.0,1365.0,1800.0,1800.0,210.0,36.76,Turing,2019,160,37083.05882352941
GeForce RTX 3090,24.0,1395.0,1725.0,1725.0,318.0,69.44,Ampere,2020,350,156024.11111111112
Quadro P5000,16.0,1607.0,1733.0,1733.0,,32.76,Pascal,2016,180,
GeForce RTX 3090 Ti,24.0,1560.0,1935.0,1935.0,238.0,77.01,Ampere,2022,450,122757.8947368421
GeForce RTX 3060 Ti,8.0,1410.0,1800.0,1800.0,290.0,53.15,Ampere,2020,200,47190.90540540541
Radeon RX 580,8.0,1257.0,1340.0,1340.0,269.0,23.01,GCN 4.0,2017,185,21861.52857142857
GeForce GTX 1080 Ti,11.0,1480.0,1582.0,1582.0,,48.29,Pascal,2017,250,61898.85294117647
GeForce RTX 4060 Ti,8.0,2310.0,2565.0,2565.0,300.0,59.35,Ada Lovelace,2023,160,47786.545454545456
GeForce RTX 3080 Ti,12.0,1365.0,1665.0,1665.0,305.0,70.35,Ampere,2021,350,123265.19047619047
GeForce GTX 1650 SUPER,4.0,1530.0,1740.0,1740.0,172.0,26.43,Turing,2019,100,21592.88888888889
GeForce GTX 1660 Ti,6.0,1500.0,1845.0,1845.0,265.0,33.55,Turing,2019,120,27207.916666666668
GeForce RTX 3080 Ti,12.0,1365.0,1860.0,1860.0,293.0,70.35,Ampere,2021,350,123265.19047619047
GeForce RTX 3060 Ti,8.0,1410.0,1665.0,1665.0,242.0,53.15,Ampere,2020,200,47190.90540540541
GeForce GTX 1080,8.0,1607.0,1771.0,1771.0,279.0,40.44,Pascal,2016,180,56019.25
GeForce GTX 1660,6.0,1530.0,1860.0,1860.0,280.0,30.32,Turing,2019,120,24873.18918918919
Radeon RX 570,4.0,1168.0,1244.0,1244.0,236.0,18.11,GCN 4.0,2017,120,36880.112676056335
Radeon RX 6900 XT,16.0,1825.0,2285.0,2285.0,310.0,69.52,RDNA 2.0,2020,300,118242.23809523808
GeForce GTX 970,4.0,1102.0,1241.0,1241.0,275.0,25.05,Maxwell 2.0,2014,150,
Radeon RX 6400,4.0,1923.0,,,182.0,19.85,RDNA 2.0,2022,53,
Quadro P1000,4.0,1354.0,1455.0,1455.0,145.0,11.63,Pascal,2017,40,
GeForce GTX 980,4.0,1241.0,1342.0,1342.0,267.0,28.88,Maxwell 2.0,2014,220,24102.0
GeForce GTX 1070 Ti,8.0,1607.0,1746.0,1746.0,270.0,38.18,Pascal,2017,180,34830.5
GeForce GTX 1050 Ti,4.0,1341.0,1455.0,1455.0,177.0,16.43,Pascal,2016,70,15100.314285714288
GeForce RTX 3090 Ti,24.0,1560.0,1860.0,1860.0,300.0,77.01,Ampere,2022,450,122757.8947368421
Radeon RX 580,8.0,1257.0,1430.0,1430.0,260.0,23.01,GCN 4.0,2017,185,21861.52857142857
GeForce RTX 2060,6.0,1365.0,1755.0,1755.0,268.0,36.76,Turing,2019,160,37083.05882352941
GeForce RTX 4070 Ti,12.0,2310.0,2775.0,2775.0,329.0,82.62,Ada Lovelace,2023,285,95199.0447761194
GeForce GTX 660,2.0,1020.0,,,259.0,10.42,Kepler,2012,140,
GeForce GTX 1080 Ti,11.0,1645.0,1759.0,1759.0,325.0,48.29,Pascal,2017,250,61898.85294117647
GeForce GTX 1080 Ti,11.0,1531.0,1645.0,1645.0,320.0,48.29,Pascal,2017,250,61898.85294117647
Radeon RX 6900 XT,16.0,1825.0,2525.0,2525.0,270.0,69.52,RDNA 2.0,2020,300,118242.23809523808
GeForce GTX 980 Ti,6.0,1102.0,1190.0,1190.0,267.0,35.87,Maxwell 2.0,2015,250,
GeForce GT 730,2.0,902.0,,,150.0,2.16,Fermi,2014,49,
Radeon Pro WX 7100,8.0,900.0,1080.0,1080.0,242.0,20.33,GCN 4.0,2016,130,
Radeon RX 5700,8.0,1515.0,1750.0,1750.0,232.0,37.42,RDNA 1.0,2019,180,44089.80555555556
GeForce GTX 1050 Ti,4.0,1341.0,1455.0,1455.0,191.0,16.43,Pascal,2016,70,15100.314285714288
GeForce RTX 2070,8.0,1410.0,1620.0,1620.0,226.0,41.94,Turing,2018,175,43462.75
GeForce GTX 1660 Ti,6.0,1500.0,1845.0,1845.0,190.0,33.55,Turing,2019,120,27207.916666666668
GeForce RTX 2060,6.0,1365.0,1680.0,1680.0,226.0,36.76,Turing,2019,160,37083.05882352941
GeForce RTX 3070 Ti,8.0,1575.0,1770.0,1770.0,316.0,61.17,Ampere,2021,290,63590.19047619047
Radeon RX 5600 XT,6.0,1247.0,1620.0,1620.0,240.0,35.28,RDNA 1.0,2020,150,31489.729166666668
GeForce RTX 3070,8.0,1500.0,1770.0,1770.0,300.0,58.04,Ampere,2020,220,57456.90140845071
Radeon RX 6800,16.0,1700.0,,,310.0,57.54,RDNA 2.0,2020,250,90287.65853658535
Radeon RX 470,4.0,926.0,1254.0,1254.0,270.0,21.05,GCN 4.0,2016,120,14974.652173913044
GeForce GTX 1080,8.0,1721.0,1860.0,1860.0,298.0,40.44,Pascal,2016,180,56019.25
GeForce GTX 1050 Ti,4.0,1354.0,1468.0,1468.0,229.0,16.43,Pascal,2016,70,15100.314285714288
Radeon RX 480,8.0,1208.0,1342.0,1342.0,240.0,22.38,GCN 4.0,2016,150,17570.833333333332
Radeon RX 570,8.0,1168.0,1340.0,1340.0,260.0,18.11,GCN 4.0,2017,120,36880.112676056335
Radeon RX 5600 XT,6.0,1247.0,1770.0,1770.0,304.0,35.28,RDNA 1.0,2020,150,31489.729166666668
Radeon RX 5700 XT,8.0,1605.0,1905.0,1905.0,326.0,42.89,RDNA 1.0,2019,225,45489.32876712329
GeForce GTX 1050 Ti,4.0,1392.0,1506.0,1506.0,174.0,16.43,Pascal,2016,70,15100.314285714288
GeForce GTX 1080,8.0,1620.0,1759.0,1759.0,211.0,40.44,Pascal,2016,180,56019.25
GeForce GTX 1070 Ti,8.0,1607.0,1683.0,1683.0,312.0,38.18,Pascal,2017,180,34830.5
Radeon RX 5500 XT,8.0,1685.0,1845.0,1845.0,241.0,23.72,RDNA 1.0,2019,130,26249.78260869565
GeForce GTX 970,4.0,1178.0,1329.0,1329.0,312.0,25.05,Maxwell 2.0,2014,150,
Radeon RX 580,8.0,1257.0,1350.0,1350.0,255.0,23.01,GCN 4.0,2017,185,21861.52857142857
Radeon RX 590,8.0,1469.0,1545.0,1545.0,230.0,24.41,GCN 4.0,2018,175,18825.8064516129
GeForce RTX 3070 Ti,8.0,1575.0,1770.0,1770.0,300.0,61.17,Ampere,2021,290,63590.19047619047
GeForce GTX 950,2.0,1190.0,1393.0,1393.0,257.0,13.88,Maxwell 2.0,2015,90,
Radeon RX 6650 XT,8.0,2055.0,2694.0,2694.0,260.0,44.75,RDNA 2.0,2022,176,33281.8
GeForce RTX 3060 Ti,8.0,1410.0,1665.0,1665.0,251.0,53.15,Ampere,2020,200,47190.90540540541
GeForce GTX 1660 Ti,6.0,1500.0,1890.0,1890.0,301.0,33.55,Turing,2019,120,27207.916666666668
GeForce RTX 4060,8.0,1830.0,2460.0,2460.0,170.0,51.51,Ada Lovelace,2023,115,44055.95714285714
GeForce RTX 4090,24.0,2235.0,2535.0,2535.0,352.0,100.0,Ada Lovelace,2022,450,260000.0
Quadro P400,2.0,1070.0,1170.0,1170.0,145.0,4.28,Pascal,2017,30,
Radeon RX 6700 XT,12.0,2321.0,,,296.0,51.62,RDNA 2.0,2021,230,67413.57142857143
GeForce RTX 3060 Ti,8.0,1410.0,1710.0,1710.0,200.0,53.15,Ampere,2020,200,47190.90540540541
GeForce RTX 4070 Ti,12.0,2310.0,2760.0,2760.0,329.0,82.62,Ada Lovelace,2023,285,95199.0447761194
GeForce GT 710,2.0,954.0,,,144.0,1.63,Kepler 2.0,2014,19,
GeForce GTX 980,4.0,1152.0,1253.0,1253.0,279.0,28.88,Maxwell 2.0,2014,220,24102.0
Radeon RX 570,8.0,1168.0,1310.0,1310.0,240.0,18.11,GCN 4.0,2017,120,36880.112676056335
GeForce GTX 970,4.0,1051.0,1178.0,1178.0,280.0,25.05,Maxwell 2.0,2014,150,
GeForce RTX 2060,6.0,1365.0,1680.0,1680.0,280.0,36.76,Turing,2019,160,37083.05882352941
GeForce GTX 1660 Ti,6.0,1500.0,1770.0,1770.0,204.0,33.55,Turing,2019,120,27207.916666666668
GeForce RTX 3090,24.0,1395.0,1695.0,1695.0,267.0,69.44,Ampere,2020,350,156024.11111111112
GeForce RTX 3060 Ti,8.0,1410.0,1680.0,1680.0,240.0,53.15,Ampere,2020,200,47190.90540540541
GeForce GTX 980 Ti,6.0,1216.0,1317.0,1317.0,305.0,35.87,Maxwell 2.0,2015,250,
Radeon RX 5600 XT,6.0,1185.0,1600.0,1600.0,231.0,35.28,RDNA 1.0,2020,150,31489.729166666668
GeForce GTX 1050,2.0,1404.0,1518.0,1518.0,177.0,13.08,Pascal,2016,60,14607.861111111111
Radeon RX 570,4.0,1168.0,1250.0,1250.0,255.0,18.11,GCN 4.0,2017,120,36880.112676056335
Radeon RX 6650 XT,8.0,2055.0,2694.0,2694.0,251.0,44.75,RDNA 2.0,2022,176,33281.8
Quadro NVS 420,0.5,,,,,0.31,Tesla,2009,40,
Radeon R9 380,4.0,970.0,1000.0,1000.0,268.0,15.9,GCN 3.0,2015,220,
GeForce RTX 2080 Ti,11.0,1350.0,1665.0,1665.0,308.0,56.42,Turing,2018,250,93124.89393939394
GeForce GTX 1070,8.0,1607.0,1797.0,1797.0,300.0,35.12,Pascal,2016,150,33152.86486486487
GeForce GTX 1050 Ti,4.0,1366.0,1480.0,1480.0,229.0,16.43,Pascal,2016,70,15100.314285714288
GeForce RTX 2080,8.0,1515.0,,,308.0,48.79,Turing,2018,215,72597.38235294117
GeForce GTX 1660 Ti,6.0,1500.0,1800.0,1800.0,228.0,33.55,Turing,2019,120,27207.916666666668
Radeon RX 6600 XT,8.0,1968.0,,,303.0,42.95,RDNA 2.0,2021,160,38651.90625
GeForce RTX 3090,24.0,1395.0,1695.0,1695.0,318.0,69.44,Ampere,2020,350,156024.11111111112
GeForce GTX 1070,8.0,1531.0,1721.0,1721.0,269.0,35.12,Pascal,2016,150,33152.86486486487
GeForce RTX 2060,6.0,1365.0,1680.0,1680.0,235.0,36.76,Turing,2019,160,37083.05882352941
Radeon RX 6700,10.0,1941.0,2495.0,2495.0,228.0,50.09,RDNA 2.0,2021,175,67413.57142857143
Radeon RX 480,4.0,1208.0,1306.0,1306.0,240.0,22.38,GCN 4.0,2016,150,17570.833333333332
GeForce GTX 1080 Ti,11.0,1506.0,1620.0,1620.0,267.0,48.29,Pascal,2017,250,61898.85294117647
Radeon RX 5500 XT,8.0,1607.0,1845.0,1845.0,281.0,23.72,RDNA 1.0,2019,130,26249.78260869565
GeForce RTX 3070,8.0,1500.0,1725.0,1725.0,232.0,58.04,Ampere,2020,220,57456.90140845071
Radeon RX 580,8.0,1257.0,1345.0,1345.0,240.0,23.01,GCN 4.0,2017,185,21861.52857142857
Arc A380,6.0,2000.0,2000.0,2000.0,153.0,16.16,Generation 12.7,2022,75,
GeForce RTX 2060,6.0,1365.0,1680.0,1680.0,247.0,36.76,Turing,2019,160,37083.05882352941
GeForce GTX 1080,8.0,1683.0,1822.0,1822.0,300.0,40.44,Pascal,2016,180,56019.25
Radeon RX 570,4.0,1168.0,1293.0,1293.0,276.0,18.11,GCN 4.0,2017,120,36880.112676056335
Radeon RX 580,4.0,1257.0,1386.0,1386.0,270.0,23.01,GCN 4.0,2017,185,21861.52857142857
GeForce GTX 1070 Ti,8.0,1607.0,1721.0,1721.0,280.0,38.18,Pascal,2017,180,34830.5
GeForce RTX 2080 Ti,11.0,1350.0,,,286.0,56.42,Turing,2018,250,93124.89393939394
GeForce GT 1030,2.0,1266.0,1506.0,1506.0,169.0,6.38,Pascal,2017,30,
GeForce GTX 1050 Ti,4.0,1290.0,1392.0,1392.0,145.0,16.43,Pascal,2016,70,15100.314285714288
GeForce GTX 760,2.0,1085.0,,,260.0,12.47,Kepler,2013,170,
GeForce GTX 1070 Ti,8.0,1607.0,1683.0,1683.0,300.0,38.18,Pascal,2017,180,34830.5
Radeon RX 570,4.0,1168.0,1250.0,1250.0,240.0,18.11,GCN 4.0,2017,120,36880.112676056335
GeForce GTX 1650 SUPER,4.0,1530.0,1755.0,1755.0,206.0,26.43,Turing,2019,100,21592.88888888889
GeForce GTX 980 Ti,6.0,1064.0,1152.0,1152.0,280.0,35.87,Maxwell 2.0,2015,250,
GeForce GTX 1050 Ti,4.0,1328.0,1442.0,1442.0,167.0,16.43,Pascal,2016,70,15100.314285714288
GeForce RTX 3060 Ti,8.0,1410.0,1695.0,1695.0,230.0,53.15,Ampere,2020,200,47190.90540540541
Radeon RX 5700 XT,8.0,1840.0,2035.0,2035.0,306.0,42.89,RDNA 1.0,2019,225,45489.32876712329
GeForce RTX 3070,8.0,1500.0,1815.0,1815.0,316.0,58.04,Ampere,2020,220,57456.90140845071
T600,4.0,735.0,1335.0,1335.0,156.0,16.85,Turing,2021,40,15352.12
GeForce RTX 3070 Ti,8.0,1575.0,1770.0,1770.0,304.0,61.17,Ampere,2021,290,63590.19047619047
Radeon RX 570,4.0,1168.0,1244.0,1244.0,246.0,18.11,GCN 4.0,2017,120,36880.112676056335
GeForce GTX 1650 SUPER,4.0,1530.0,1740.0,1740.0,212.0,26.43,Turing,2019,100,21592.88888888889
Radeon RX 6800 XT,16.0,1825.0,2360.0,2360.0,277.0,65.0,RDNA 2.0,2020,300,100541.47368421052
GeForce GTX 960,4.0,1279.0,1342.0,1342.0,257.0,15.84,Maxwell 2.0,2015,100,
GeForce GTX 1050,2.0,1354.0,1455.0,1455.0,145.0,13.08,Pascal,2016,60,14607.861111111111
GeForce GTX 1080 Ti,11.0,1480.0,1582.0,1582.0,290.0,48.29,Pascal,2017,250,61898.85294117647
GeForce RTX 2080 Ti,11.0,1350.0,,,269.0,56.42,Turing,2018,250,93124.89393939394
Radeon RX 6600 XT,8.0,1968.0,2602.0,2602.0,215.0,42.95,RDNA 2.0,2021,160,38651.90625
RTX A5500,24.0,1170.0,1695.0,1695.0,267.0,57.11,Ampere,2022,230,
GeForce GTX 980,4.0,1266.0,1367.0,1367.0,267.0,28.88,Maxwell 2.0,2014,220,24102.0
GeForce GTX 1050 Ti,4.0,1341.0,1480.0,1480.0,203.0,16.43,Pascal,2016,70,15100.314285714288
GeForce GTX 1660,6.0,1530.0,1830.0,1830.0,174.0,30.32,Turing,2019,120,24873.18918918919
GeForce GTX 960,2.0,1216.0,1279.0,1279.0,267.0,15.84,Maxwell 2.0,2015,100,
GeForce RTX 2060,6.0,1365.0,1830.0,1830.0,268.0,36.76,Turing,2019,160,37083.05882352941
GeForce GTX 1650 SUPER,4.0,1530.0,1725.0,1725.0,168.0,26.43,Turing,2019,100,21592.88888888889
GeForce RTX 3070,8.0,1500.0,1770.0,1770.0,294.0,58.04,Ampere,2020,220,57456.90140845071
GeForce RTX 3090 Ti,24.0,1560.0,1920.0,1920.0,289.0,77.01,Ampere,2022,450,122757.8947368421
Radeon RX 6950 XT,16.0,1890.0,2324.0,2324.0,332.0,73.21,RDNA 2.0,2022,335,72817.5
Radeon RX 580,8.0,1257.0,1380.0,1380.0,232.0,23.01,GCN 4.0,2017,185,21861.52857142857
Radeon RX 580,4.0,1257.0,1380.0,1380.0,242.0,23.01,GCN 4.0,2017,185,21861.52857142857
GeForce RTX 2070,8.0,1410.0,1650.0,1650.0,211.0,41.94,Turing,2018,175,43462.75
Radeon RX 5700,8.0,1540.0,1750.0,1750.0,254.0,37.42,RDNA 1.0,2019,180,44089.80555555556
Radeon RX 6600 XT,8.0,1968.0,,,179.0,42.95,RDNA 2.0,2021,160,38651.90625
GeForce RTX 3060 Ti,8.0,1410.0,1695.0,1695.0,302.0,53.15,Ampere,2020,200,47190.90540540541
GeForce RTX 2080 Ti,11.0,1350.0,1770.0,1770.0,305.0,56.42,Turing,2018,250,93124.89393939394
GeForce RTX 3060 Ti,8.0,1410.0,1710.0,1710.0,285.0,53.15,Ampere,2020,200,47190.90540540541
GeForce RTX 4060 Ti,8.0,2310.0,2655.0,2655.0,251.0,59.35,Ada Lovelace,2023,160,47786.545454545456
Quadro M6000,24.0,988.0,1114.0,1114.0,267.0,30.6,Maxwell 2.0,2015,250,
GeForce GTX 750 Ti,2.0,1085.0,1163.0,1163.0,249.0,10.14,Maxwell,2014,75,
GeForce GTX 970,4.0,1076.0,1216.0,1216.0,203.0,25.05,Maxwell 2.0,2014,150,
GeForce GTX 1070,8.0,1531.0,1746.0,1746.0,169.0,35.12,Pascal,2016,150,33152.86486486487
Radeon RX 580,8.0,1340.0,1380.0,1380.0,270.0,23.01,GCN 4.0,2017,185,21861.52857142857
GeForce GTX 1660 Ti,6.0,1500.0,1860.0,1860.0,280.0,33.55,Turing,2019,120,27207.916666666668
Quadro K6000,12.0,902.0,,,267.0,20.88,Kepler,2013,225,
GeForce RTX 3090,24.0,1395.0,1815.0,1815.0,356.0,69.44,Ampere,2020,350,156024.11111111112
Radeon RX 6900 XT,16.0,1825.0,2495.0,2495.0,340.0,69.52,RDNA 2.0,2020,300,118242.23809523808
Quadro NVS 295,0.25,540.0,,,168.0,0.24,Tesla,2009,23,
GeForce GT 730,4.0,700.0,,,168.0,2.16,Fermi,2014,49,
Radeon RX 580,8.0,1405.0,1425.0,1425.0,279.0,23.01,GCN 4.0,2017,185,21861.52857142857
Radeon RX 6900 XT,16.0,1825.0,2525.0,2525.0,277.0,69.52,RDNA 2.0,2020,300,118242.23809523808
Radeon RX 590,8.0,1469.0,1565.0,1565.0,278.0,24.41,GCN 4.0,2018,175,18825.8064516129
GeForce GTX 1660 Ti,6.0,1500.0,1860.0,1860.0,243.0,33.55,Turing,2019,120,27207.916666666668
GeForce GTX 960,2.0,1127.0,1178.0,1178.0,242.0,15.84,Maxwell 2.0,2015,100,
Radeon RX 5700 XT,8.0,1730.0,1980.0,1980.0,293.0,42.89,RDNA 1.0,2019,225,45489.32876712329
GeForce RTX 3080 Ti,12.0,1365.0,1725.0,1725.0,263.0,70.35,Ampere,2021,350,123265.19047619047
Radeon RX 6800,16.0,1700.0,2105.0,2105.0,340.0,57.54,RDNA 2.0,2020,250,90287.65853658535
GeForce GTX 1080 Ti,11.0,1506.0,1620.0,1620.0,270.0,48.29,Pascal,2017,250,61898.85294117647
GeForce GTX 1660,6.0,1530.0,1785.0,1785.0,190.0,30.32,Turing,2019,120,24873.18918918919
Radeon RX 5600 XT,6.0,1247.0,1620.0,1620.0,228.0,35.28,RDNA 1.0,2020,150,31489.729166666668
GeForce GT 1030,2.0,1290.0,1544.0,1544.0,145.0,6.38,Pascal,2017,30,
Radeon R9 270X,2.0,1020.0,,,228.0,12.68,GCN 1.0,2013,180,
Radeon R9 290,4.0,1000.0,,,305.0,21.04,GCN 2.0,2013,275,
GeForce GTX 1050 Ti,4.0,1303.0,1417.0,1417.0,196.0,16.43,Pascal,2016,70,15100.314285714288
GeForce RTX 2070,8.0,1410.0,1725.0,1725.0,269.0,41.94,Turing,2018,175,43462.75
GeForce RTX 2070,8.0,1410.0,1620.0,1620.0,232.0,41.94,Turing,2018,175,43462.75
Radeon RX 5700 XT,8.0,1630.0,1905.0,1905.0,297.0,42.89,RDNA 1.0,2019,225,45489.32876712329
GeForce RTX 3070 Ti,8.0,1575.0,1770.0,1770.0,285.0,61.17,Ampere,2021,290,63590.19047619047
Radeon Pro W5500,8.0,1354.0,1900.0,1900.0,241.0,23.73,RDNA 1.0,2020,125,
GeForce GTX 1660 Ti,6.0,1500.0,1770.0,1770.0,268.0,33.55,Turing,2019,120,27207.916666666668
Radeon RX 5700 XT,8.0,1770.0,2010.0,2010.0,290.0,42.89,RDNA 1.0,2019,225,45489.32876712329
GeForce GTX 760,2.0,1006.0,,,218.0,12.47,Kepler,2013,170,
GeForce GTX 1080 Ti,11.0,1506.0,1620.0,1620.0,269.0,48.29,Pascal,2017,250,61898.85294117647
Radeon RX 5700 XT,8.0,1690.0,1945.0,1945.0,254.0,42.89,RDNA 1.0,2019,225,45489.32876712329
GeForce RTX 2080 Ti,11.0,1350.0,1635.0,1635.0,269.0,56.42,Turing,2018,250,93124.89393939394
GeForce RTX 3090,24.0,1395.0,1785.0,1785.0,252.0,69.44,Ampere,2020,350,156024.11111111112
Radeon RX 580,8.0,1257.0,1405.0,1405.0,270.0,23.01,GCN 4.0,2017,185,21861.52857142857
Quadro P620,2.0,1266.0,1354.0,1354.0,145.0,9.48,Pascal,2018,40,
GeForce GTX 660,2.0,1046.0,,,241.0,10.42,Kepler,2012,140,
GeForce GTX 970,4.0,1216.0,1367.0,1367.0,241.0,25.05,Maxwell 2.0,2014,150,
GeForce GTX 970,4.0,1088.0,1228.0,1228.0,264.0,25.05,Maxwell 2.0,2014,150,
Radeon RX 460,2.0,1090.0,1210.0,1210.0,172.0,10.66,GCN 4.0,2016,75,8020.285714285715
GeForce GTX 1080 Ti,11.0,1569.0,1683.0,1683.0,325.0,48.29,Pascal,2017,250,61898.85294117647
GeForce RTX 2060,6.0,1680.0,1770.0,1770.0,265.0,36.76,Turing,2019,160,37083.05882352941
GeForce RTX 4060,8.0,1830.0,2610.0,2610.0,247.0,51.51,Ada Lovelace,2023,115,44055.95714285714
Radeon RX 480,4.0,1120.0,1316.0,1316.0,276.0,22.38,GCN 4.0,2016,150,17570.833333333332
GeForce GTX 980,4.0,1228.0,1329.0,1329.0,312.0,28.88,Maxwell 2.0,2014,220,24102.0
Radeon RX 480,8.0,1120.0,1338.0,1338.0,280.0,22.38,GCN 4.0,2016,150,17570.833333333332
GeForce RTX 2060,6.0,1365.0,1710.0,1710.0,177.0,36.76,Turing,2019,160,37083.05882352941
Arc A750,8.0,2050.0,2200.0,2200.0,222.0,31.65,Generation 12.7,2022,225,
Radeon RX 6800,16.0,1700.0,2190.0,2190.0,324.0,57.54,RDNA 2.0,2020,250,90287.65853658535
Radeon RX 6700,10.0,1941.0,2495.0,2495.0,242.0,50.09,RDNA 2.0,2021,175,67413.57142857143
GeForce RTX 4060,8.0,1830.0,2460.0,2460.0,155.0,51.51,Ada Lovelace,2023,115,44055.95714285714
Radeon RX 6600,8.0,1626.0,2491.0,2491.0,238.0,39.38,RDNA 2.0,2021,132,35546.67272727273
GeForce GTX 650,2.0,1110.0,,,187.0,4.55,Kepler,2012,65,
Radeon RX 580,4.0,1257.0,1393.0,1393.0,276.0,23.01,GCN 4.0,2017,185,21861.52857142857
GeForce RTX 2080 Ti,11.0,1350.0,1635.0,1635.0,270.0,56.42,Turing,2018,250,93124.89393939394
GeForce GTX 1070 Ti,8.0,1607.0,1721.0,1721.0,267.0,38.18,Pascal,2017,180,34830.5
GeForce RTX 2080 Ti,11.0,1350.0,1560.0,1560.0,305.0,56.42,Turing,2018,250,93124.89393939394
Radeon RX 5600 XT,6.0,1247.0,1620.0,1620.0,230.0,35.28,RDNA 1.0,2020,150,31489.729166666668
Radeon RX 5500 XT,8.0,1607.0,1845.0,1845.0,178.0,23.72,RDNA 1.0,2019,130,26249.78260869565
GeForce RTX 3080 Ti,12.0,1365.0,1665.0,1665.0,294.0,70.35,Ampere,2021,350,123265.19047619047
Radeon R9 Fury,4.0,1050.0,,,307.0,24.86,GCN 3.0,2015,275,30310.0
GeForce GTX 1070 Ti,8.0,1607.0,1683.0,1683.0,269.0,38.18,Pascal,2017,180,34830.5
Radeon RX 570,8.0,1244.0,1281.0,1281.0,270.0,18.11,GCN 4.0,2017,120,36880.112676056335
Radeon RX 590,8.0,1469.0,1545.0,1545.0,255.0,24.41,GCN 4.0,2018,175,18825.8064516129
GeForce RTX 3060 Ti,8.0,1410.0,1725.0,1725.0,300.0,53.15,Ampere,2020,200,47190.90540540541
GeForce RTX 4070,12.0,1920.0,2595.0,2595.0,329.0,70.04,Ada Lovelace,2023,200,80861.27692307692
GeForce GTX 980 Ti,6.0,1190.0,1291.0,1291.0,267.0,35.87,Maxwell 2.0,2015,250,
Radeon VII,16.0,1400.0,1750.0,1750.0,267.0,43.21,GCN 5.1,2019,295,54349.86666666667
Radeon RX 5700 XT,8.0,1690.0,1945.0,1945.0,287.0,42.89,RDNA 1.0,2019,225,45489.32876712329
GeForce RTX 4060 Ti,8.0,2310.0,2565.0,2565.0,227.0,59.35,Ada Lovelace,2023,160,47786.545454545456
GeForce RTX 3070 Ti,8.0,1575.0,1890.0,1890.0,356.0,61.17,Ampere,2021,290,63590.19047619047
GeForce GTX 750 Ti,2.0,1033.0,1085.0,1085.0,204.0,10.14,Maxwell,2014,75,
GeForce GTX 750,2.0,1059.0,1137.0,1137.0,184.0,8.69,Maxwell,2014,55,
GeForce GTX 1080,8.0,1632.0,1771.0,1771.0,267.0,40.44,Pascal,2016,180,56019.25
GeForce GTX 1070,8.0,1506.0,1721.0,1721.0,298.0,35.12,Pascal,2016,150,33152.86486486487
Radeon RX 470,4.0,926.0,1270.0,1270.0,242.0,21.05,GCN 4.0,2016,120,14974.652173913044
GeForce GTX 1050,2.0,1417.0,1531.0,1531.0,145.0,13.08,Pascal,2016,60,14607.861111111111
GeForce GTX 1070 Ti,8.0,1607.0,1683.0,1683.0,325.0,38.18,Pascal,2017,180,34830.5
GeForce RTX 2070,8.0,1620.0,1740.0,1740.0,280.0,41.94,Turing,2018,175,43462.75
GeForce GTX 1660 Ti,6.0,1500.0,1860.0,1860.0,268.0,33.55,Turing,2019,120,27207.916666666668
Radeon RX 5700,8.0,1515.0,1750.0,1750.0,271.0,37.42,RDNA 1.0,2019,180,44089.80555555556
GeForce RTX 2070,8.0,1410.0,1620.0,1620.0,304.0,41.94,Turing,2018,175,43462.75
Radeon RX 6900 XT,16.0,1825.0,2600.0,2600.0,270.0,69.52,RDNA 2.0,2020,300,118242.23809523808
Radeon HD 6570,1.0,480.0,,,150.0,1.43,TeraScale 2,2011,60,
GeForce 8400 GS,1.0,520.0,,,158.0,0.4,Tesla,2007,40,
GeForce GT 610,1.0,810.0,,,185.0,0.82,Fermi 2.0,2012,29,
