gpu,memory,core_clock,boost_clock,boost_clock,length,rating,architecture,year,power_consumption,average_price
GeForce RTX 4090,24.0,2235.0,,,280.0,100.0,Ada Lovelace,2022,450,260000.0
Arc A750,8.0,2050.0,,,250.0,31.65,Generation 12.7,2022,225,
Radeon RX 6600,8.0,1626.0,2491.0,2491.0,193.0,39.38,RDNA 2.0,2021,132,35546.67272727273
GeForce RTX 4080,16.0,2205.0,2535.0,2535.0,342.0,89.97,Ada Lovelace,2022,320,131353.42253521126
Radeon RX 7900 XT,20.0,2000.0,2400.0,2400.0,276.0,75.18,RDNA 3.0,2022,300,113740.7
GeForce RTX 4070 Ti,12.0,2310.0,2640.0,2640.0,336.0,82.62,Ada Lovelace,2023,285,95199.0447761194
GeForce RTX 4080,16.0,2205.0,2610.0,2610.0,337.0,89.97,Ada Lovelace,2022,320,131353.42253521126
GeForce RTX 4060 Ti,8.0,2310.0,,,308.0,59.35,Ada Lovelace,2023,160,47786.545454545456
Radeon RX 6600,8.0,1626.0,2491.0,2491.0,200.0,39.38,RDNA 2.0,2021,132,35546.67272727273
Radeon RX 6950 XT,16.0,1890.0,2310.0,2310.0,267.0,73.21,RDNA 2.0,2022,335,72817.5
GeForce RTX 4060 Ti,8.0,2310.0,,,281.0,59.35,Ada Lovelace,2023,160,47786.545454545456
GeForce RTX 4080,16.0,2205.0,2655.0,2655.0,358.0,89.97,Ada Lovelace,2022,320,131353.42253521126
Radeon RX 6750 XT,12.0,2150.0,2600.0,2600.0,323.0,54.07,RDNA 2.0,2022,250,45807.4
Radeon RX 6700 XT,12.0,2321.0,2581.0,2581.0,228.0,51.62,RDNA 2.0,2021,230,67413.57142857143
GeForce RTX 4070,12.0,1920.0,,,338.0,70.04,Ada Lovelace,2023,200,80861.27692307692
GeForce RTX 3060 Ti,8.0,1410.0,1785.0,1785.0,302.0,53.15,Ampere,2020,200,47190.90540540541
GeForce RTX 4090,24.0,2235.0,,,336.0,100.0,Ada Lovelace,2022,450,260000.0
Radeon RX 7900 XT,20.0,2000.0,2535.0,2535.0,344.0,75.18,RDNA 3.0,2022,300,113740.7
Radeon RX 7600,8.0,1720.0,2695.0,2695.0,235.0,43.17,RDNA 3.0,2023,165,29762.666666666668
Radeon RX 6800 XT,16.0,1825.0,,,313.0,65.0,RDNA 2.0,2020,300,100541.47368421052
Radeon RX 7600,8.0,1875.0,2655.0,2655.0,241.0,43.17,RDNA 3.0,2023,165,29762.666666666668
Radeon RX 6700 XT,12.0,2321.0,,,282.0,51.62,RDNA 2.0,2021,230,67413.57142857143
GeForce RTX 4090,24.0,2235.0,,,238.0,100.0,Ada Lovelace,2022,450,260000.0
GeForce RTX 3060 Ti,8.0,1665.0,1680.0,1680.0,282.0,53.15,Ampere,2020,200,47190.90540540541
Arc A770,16.0,2100.0,,,250.0,34.08,Generation 12.7,2022,225,
Radeon R7 240,4.0,780.0,780.0,780.0,146.0,2.33,GCN 1.0,2013,30,
GeForce RTX 4090,24.0,2235.0,2580.0,2580.0,356.0,100.0,Ada Lovelace,2022,450,260000.0
GeForce RTX 4070,12.0,1920.0,2490.0,2490.0,226.0,70.04,Ada Lovelace,2023,200,80861.27692307692
GeForce RTX 4090,24.0,2520.0,2535.0,2535.0,342.0,100.0,Ada Lovelace,2022,450,260000.0
Radeon RX 7900 XTX,24.0,2300.0,2565.0,2565.0,338.0,80.65,RDNA 3.0,2022,355,113740.7
Radeon RX 7900 XT,20.0,2000.0,2450.0,2450.0,330.0,75.18,RDNA 3.0,2022,300,113740.7
GeForce RTX 4070 Ti,12.0,2310.0,2625.0,2625.0,307.0,82.62,Ada Lovelace,2023,285,95199.0447761194
Radeon RX 7600,8.0,1720.0,2755.0,2755.0,240.0,43.17,RDNA 3.0,2023,165,29762.666666666668
GeForce RTX 3090,24.0,1395.0,1800.0,1800.0,300.0,69.44,Ampere,2020,350,156024.11111111112
Radeon RX 7900 XTX,24.0,2300.0,2525.0,2525.0,320.0,80.65,RDNA 3.0,2022,355,113740.7
GeForce RTX 4060 Ti,8.0,2310.0,2535.0,2535.0,226.0,59.35,Ada Lovelace,2023,160,47786.545454545456
GeForce RTX 4070 Ti,12.0,2310.0,2625.0,2625.0,261.0,82.62,Ada Lovelace,2023,285,95199.0447761194
Radeon RX 6900 XT,16.0,1950.0,2365.0,2365.0,340.0,69.52,RDNA 2.0,2020,300,118242.23809523808
GeForce RTX 3070 Ti,8.0,1575.0,1770.0,1770.0,318.0,61.17,Ampere,2021,290,63590.19047619047
GeForce RTX 3070,8.0,1500.0,1730.0,1730.0,242.0,58.04,Ampere,2020,220,57456.90140845071
Radeon RX 6650 XT,8.0,2055.0,2635.0,2635.0,240.0,44.75,RDNA 2.0,2022,176,33281.8
Radeon RX 6700 XT,12.0,2321.0,,,295.0,51.62,RDNA 2.0,2021,230,67413.57142857143
GeForce RTX 4080,16.0,2205.0,2625.0,2625.0,348.0,89.97,Ada Lovelace,2022,320,131353.42253521126
Radeon RX 6750 XT,12.0,2150.0,2623.0,2623.0,281.0,54.07,RDNA 2.0,2022,250,45807.4
GeForce RTX 4090,24.0,2235.0,2565.0,2565.0,322.0,100.0,Ada Lovelace,2022,450,260000.0
Radeon RX 6500 XT,4.0,2310.0,2825.0,2825.0,194.0,24.86,RDNA 2.0,2022,107,18785.066666666666
GeForce RTX 4080,16.0,2205.0,2550.0,2550.0,332.0,89.97,Ada Lovelace,2022,320,131353.42253521126
GeForce RTX 4080,16.0,2205.0,2520.0,2520.0,342.0,89.97,Ada Lovelace,2022,320,131353.42253521126
Radeon RX 6650 XT,8.0,2055.0,2635.0,2635.0,241.0,44.75,RDNA 2.0,2022,176,33281.8
GeForce RTX 3080 Ti,12.0,1365.0,1800.0,1800.0,300.0,70.35,Ampere,2021,350,123265.19047619047
Arc A770,16.0,2200.0,2400.0,2400.0,267.0,34.08,Generation 12.7,2022,225,
GeForce RTX 3060 Ti,8.0,1410.0,1695.0,1695.0,305.0,53.15,Ampere,2020,200,47190.90540540541
GeForce RTX 4070,12.0,1920.0,2520.0,2520.0,242.0,70.04,Ada Lovelace,2023,200,80861.27692307692
GeForce RTX 4070 Ti,12.0,2310.0,2790.0,2790.0,336.0,82.62,Ada Lovelace,2023,285,95199.0447761194
Arc A380,6.0,2250.0,,,190.0,16.16,Generation 12.7,2022,75,
Radeon RX 6600 XT,8.0,1968.0,,,305.0,42.95,RDNA 2.0,2021,160,38651.90625
Radeon RX 7900 XTX,24.0,2300.0,2500.0,2500.0,287.0,80.65,RDNA 3.0,2022,355,113740.7
Radeon RX 7900 XTX,24.0,2300.0,2680.0,2680.0,345.0,80.65,RDNA 3.0,2022,355,113740.7
GeForce RTX 4080,16.0,2205.0,2640.0,2640.0,336.0,89.97,Ada Lovelace,2022,320,131353.42253521126
GeForce RTX 3090 Ti,24.0,1560.0,1860.0,1860.0,313.0,77.01,Ampere,2022,450,122757.8947368421
GeForce RTX 3060 Ti,8.0,1410.0,1770.0,1770.0,278.0,53.15,Ampere,2020,200,47190.90540540541
Radeon RX 6650 XT,8.0,2055.0,2635.0,2635.0,200.0,44.75,RDNA 2.0,2022,176,33281.8
GeForce RTX 4070 Ti,12.0,2310.0,2625.0,2625.0,301.0,82.62,Ada Lovelace,2023,285,95199.0447761194
GeForce RTX 4060 Ti,8.0,2310.0,2540.0,2540.0,244.0,59.35,Ada Lovelace,2023,160,47786.545454545456
Quadro RTX 8000,48.0,1395.0,1770.0,1770.0,267.0,50.4,Turing,2018,260,532625.3333333334
GeForce RTX 4070,12.0,1920.0,2505.0,2505.0,261.0,70.04,Ada Lovelace,2023,200,80861.27692307692
GeForce RTX 2060,6.0,1365.0,1755.0,1755.0,202.0,36.76,Turing,2019,160,37083.05882352941
Radeon RX 6750 XT,12.0,2150.0,2618.0,2618.0,295.0,54.07,RDNA 2.0,2022,250,45807.4
GeForce RTX 2060,6.0,1365.0,1710.0,1710.0,190.0,36.76,Turing,2019,160,37083.05882352941
GeForce RTX 4070 Ti,12.0,2310.0,2610.0,2610.0,332.0,82.62,Ada Lovelace,2023,285,95199.0447761194
GeForce GTX 1050 Ti,4.0,1341.0,1455.0,1455.0,215.0,16.43,Pascal,2016,70,15100.314285714288
GeForce RTX 3060 Ti,8.0,1665.0,1755.0,1755.0,281.0,53.15,Ampere,2020,200,47190.90540540541
Radeon RX 7900 XT,20.0,2000.0,2500.0,2500.0,320.0,75.18,RDNA 3.0,2022,300,113740.7
Radeon RX 7900 XTX,24.0,2300.0,2500.0,2500.0,325.0,80.65,RDNA 3.0,2022,355,113740.7
Radeon RX 5700 XT,8.0,1650.0,1905.0,1905.0,281.0,42.89,RDNA 1.0,2019,225,45489.32876712329
Radeon RX 7900 XTX,24.0,2300.0,2525.0,2525.0,331.0,80.65,RDNA 3.0,2022,355,113740.7
GeForce RTX 4090,24.0,2235.0,2550.0,2550.0,348.0,100.0,Ada Lovelace,2022,450,260000.0
GeForce RTX 4090,24.0,2235.0,2550.0,2550.0,358.0,100.0,Ada Lovelace,2022,450,260000.0
GeForce RTX 3070 Ti,8.0,1575.0,1860.0,1860.0,300.0,61.17,Ampere,2021,290,63590.19047619047
GeForce RTX 3060 Ti,8.0,1410.0,1695.0,1695.0,232.0,53.15,Ampere,2020,200,47190.90540540541
GeForce RTX 3070 Ti,8.0,1575.0,1830.0,1830.0,323.0,61.17,Ampere,2021,290,63590.19047619047
GeForce GTX 1080 Ti,11.0,1493.0,1632.0,1632.0,298.0,48.29,Pascal,2017,250,61898.85294117647
GeForce RTX 3070 Ti,8.0,1575.0,1770.0,1770.0,267.0,61.17,Ampere,2021,290,63590.19047619047
GeForce GTX 1660 Ti,6.0,1500.0,1845.0,1845.0,206.0,33.55,Turing,2019,120,27207.916666666668
Radeon RX 7600,8.0,1720.0,2755.0,2755.0,282.0,43.17,RDNA 3.0,2023,165,29762.666666666668
GeForce RTX 4060 Ti,8.0,2310.0,2595.0,2595.0,227.0,59.35,Ada Lovelace,2023,160,47786.545454545456
Radeon RX 7900 XTX,24.0,2300.0,,,353.0,80.65,RDNA 3.0,2022,355,113740.7
Radeon RX 7600,8.0,1875.0,2755.0,2755.0,272.0,43.17,RDNA 3.0,2023,165,29762.666666666668
Radeon RX 7900 XTX,24.0,2300.0,2525.0,2525.0,338.0,80.65,RDNA 3.0,2022,355,113740.7
GeForce GTX 1050,2.0,1404.0,1518.0,1518.0,212.0,13.08,Pascal,2016,60,14607.861111111111
GeForce RTX 3090,24.0,1395.0,1695.0,1695.0,313.0,69.44,Ampere,2020,350,156024.11111111112
GeForce RTX 4080,16.0,2205.0,2505.0,2505.0,332.0,89.97,Ada Lovelace,2022,320,131353.42253521126
GeForce RTX 3060 Ti,8.0,1410.0,1740.0,1740.0,282.0,53.15,Ampere,2020,200,47190.90540540541
GeForce RTX 4070,12.0,2475.0,2505.0,2505.0,301.0,70.04,Ada Lovelace,2023,200,80861.27692307692
Radeon RX 6650 XT,8.0,2055.0,2694.0,2694.0,282.0,44.75,RDNA 2.0,2022,176,33281.8
Radeon RX 7900 XT,20.0,2000.0,2535.0,2535.0,331.0,75.18,RDNA 3.0,2022,300,113740.7
GeForce RTX 4060 Ti,8.0,2310.0,,,338.0,59.35,Ada Lovelace,2023,160,47786.545454545456
Radeon RX 6750 XT,12.0,2150.0,2618.0,2618.0,249.0,54.07,RDNA 2.0,2022,250,45807.4
Radeon RX 6650 XT,8.0,2055.0,2689.0,2689.0,274.0,44.75,RDNA 2.0,2022,176,33281.8
GeForce RTX 4070,12.0,1920.0,2475.0,2475.0,247.0,70.04,Ada Lovelace,2023,200,80861.27692307692
GeForce RTX 2060,6.0,1365.0,1785.0,1785.0,242.0,36.76,Turing,2019,160,37083.05882352941
GeForce RTX 3070,8.0,1500.0,1725.0,1725.0,282.0,58.04,Ampere,2020,220,57456.90140845071
GeForce RTX 4080,16.0,2205.0,2520.0,2520.0,356.0,89.97,Ada Lovelace,2022,320,131353.42253521126
Radeon RX 6750 XT,12.0,2150.0,2623.0,2623.0,305.0,54.07,RDNA 2.0,2022,250,45807.4
GeForce RTX 3070,8.0,1500.0,1845.0,1845.0,300.0,58.04,Ampere,2020,220,57456.90140845071
GeForce RTX 3060 Ti,8.0,1410.0,1755.0,1755.0,286.0,53.15,Ampere,2020,200,47190.90540540541
GeForce RTX 3080 Ti,12.0,1365.0,1695.0,1695.0,300.0,70.35,Ampere,2021,350,123265.19047619047
GeForce RTX 4060,8.0,1830.0,,,192.0,51.51,Ada Lovelace,2023,115,44055.95714285714
Radeon RX 6750 XT,12.0,2150.0,2623.0,2623.0,323.0,54.07,RDNA 2.0,2022,250,45807.4
GeForce GTX 1080,8.0,1721.0,1860.0,1860.0,286.0,40.44,Pascal,2016,180,56019.25
Radeon RX 6600 XT,8.0,1968.0,2607.0,2607.0,277.0,42.95,RDNA 2.0,2021,160,38651.90625
Radeon RX 6650 XT,8.0,2055.0,2689.0,2689.0,243.0,44.75,RDNA 2.0,2022,176,33281.8
GeForce RTX 3070,8.0,1500.0,1770.0,1770.0,285.0,58.04,Ampere,2020,220,57456.90140845071
GeForce RTX 4090,24.0,2235.0,,,358.0,100.0,Ada Lovelace,2022,450,260000.0
GeForce RTX 4060 Ti,8.0,2310.0,,,247.0,59.35,Ada Lovelace,2023,160,47786.545454545456
GeForce RTX 3080 Ti,12.0,1370.0,1670.0,1670.0,285.0,70.35,Ampere,2021,350,123265.19047619047
